Back, Back
Delete Vendor, Delete Vendor
Are you sure you want to do this?, Are you sure you want to do this?
Save, Save
Save & Close, Save & Close
You deleted the vendor., You deleted the vendor.
We can\'t find a vendor to delete., We can\'t find a vendor to delete.
This vendor no longer exists., This vendor no longer exists.
Vendors, Vendors
Manage Vendors, Manage Vendors
Edit Vendor, Edit Vendor
New Vendor, New Vendor
You saved the vendor., You saved the vendor.
Something went wrong while saving the vendor., Something went wrong while saving the vendor.
Edit, Edit
Delete, Delete
Delete %1, Delete %1
Are you sure you want to delete a %1 record?, Are you sure you want to delete a %1 record?
General Information, General Information
Vendor Name, Vendor Name
Vendor Address, Vendor Address
Vendor Phone, Vendor Phone
Vendor Email, Vendor Email
Add New Vendor, Add New Vendor
ID, ID
Address, Address
